Time (s),CH1 Conductivity (muS/cm),CH2 Conductivity (muS/cm),CH3 Conductivity (muS/cm)
0.0,1258.0,279.3,1018.0
1.0,1156.0,279.7,933.0
2.0,1260.0,280.4,1029.0
3.0,1290.0,279.3,997.0
4.0,1162.0,279.9,955.0
5.0,1239.0,280.4,1008.0
6.0,1299.0,279.4,1018.0
7.0,1184.0,279.9,955.0
8.0,1220.0,279.7,965.0
9.0,1289.0,279.7,1050.0
10.0,1205.0,280.3,923.0
11.0,1214.0,279.3,976.0
12.0,1273.0,279.7,1082.0
13.0,1203.0,280.0,933.0
14.0,1229.0,279.3,997.0
15.0,1260.0,279.9,1082.0
16.0,1205.0,280.1,901.0
17.0,1234.0,279.7,1018.0
18.0,1272.0,279.5,1050.0
19.0,1187.0,279.7,933.0
20.0,1231.0,280.1,1008.0
21.0,1277.0,279.1,1008.0
22.0,1186.0,279.7,987.0
23.0,1221.0,280.5,965.0
24.0,1299.0,279.1,1040.0
25.0,1194.0,279.7,997.0
26.0,1200.0,280.4,933.0
27.0,1300.0,279.1,1072.0
28.0,1218.0,279.8,976.0
29.0,1179.0,280.2,913.0
30.0,1294.0,279.7,1092.0
31.0,1247.0,279.5,987.0
32.0,1160.0,279.3,913.0
33.0,1277.0,280.1,1061.0
34.0,1279.0,279.3,965.0
35.0,1156.0,279.7,955.0
36.0,1247.0,280.6,1040.0
37.0,1306.0,279.1,997.0
38.0,1170.0,279.5,976.0
39.0,1202.0,280.1,987.0
40.0,1308.0,279.3,1040.0
41.0,1199.0,279.8,965.0
42.0,1179.0,279.5,933.0
43.0,1308.0,279.6,1072.0
44.0,1251.0,279.7,976.0
45.0,1155.0,279.5,923.0
46.0,1273.0,280.3,1040.0
47.0,1287.0,279.3,987.0
48.0,1167.0,279.7,965.0
49.0,1212.0,280.6,976.0
50.0,1305.0,279.0,1050.0
51.0,1204.0,279.9,1008.0
52.0,1180.0,280.1,913.0
53.0,1295.0,279.5,1082.0
54.0,1264.0,279.4,1018.0
55.0,1167.0,279.7,913.0
56.0,1229.0,280.2,997.0
57.0,1279.0,279.0,1040.0
58.0,1217.0,279.7,997.0
59.0,1204.0,280.3,913.0
60.0,1254.0,279.0,1018.0
61.0,1255.0,280.1,1072.0
62.0,1206.0,280.0,901.0
63.0,1208.0,279.5,997.0
64.0,1261.0,279.9,1018.0
65.0,1267.0,279.5,997.0
66.0,1197.0,280.1,965.0
67.0,1208.0,279.5,955.0
68.0,1295.0,279.7,1082.0
69.0,1231.0,279.7,955.0
70.0,1160.0,279.4,933.0
71.0,1269.0,280.3,1072.0
72.0,1290.0,279.3,1018.0
73.0,1167.0,279.7,965.0
74.0,1194.0,280.3,955.0
75.0,1303.0,279.3,1072.0
76.0,1246.0,279.7,1050.0
77.0,1164.0,279.5,1018.0
78.0,1229.0,279.7,1305.0
79.0,1263.0,278.5,1559.0
80.0,1161.0,278.9,1814.0
81.0,1142.0,279.4,2100.0
82.0,1254.0,277.6,2513.0
83.0,1129.0,278.5,2641.0
84.0,1131.0,279.3,2768.0
85.0,1258.0,277.4,2831.0
86.0,1080.0,278.4,2630.0
87.0,1198.0,279.3,2619.0
88.0,1218.0,278.3,2301.0
89.0,1105.0,278.4,2100.0
90.0,1242.0,279.5,2004.0
91.0,1191.0,279.0,1623.0
92.0,1160.0,278.8,1591.0
93.0,1247.0,279.5,1559.0
94.0,1170.0,279.6,1251.0
95.0,1208.0,279.0,1305.0
96.0,1249.0,279.7,1305.0
97.0,1203.0,279.5,1092.0
98.0,1194.0,279.6,1124.0
99.0,1254.0,279.4,1135.0
100.0,1249.0,279.5,1114.0
101.0,1193.0,279.9,1029.0
102.0,1220.0,279.3,1040.0
103.0,1282.0,279.8,1114.0
104.0,1218.0,279.7,955.0
105.0,1173.0,279.3,1008.0
106.0,1277.0,280.1,1092.0
107.0,1281.0,279.4,997.0
108.0,1166.0,279.6,965.0
109.0,1216.0,280.1,1008.0
110.0,1305.0,279.1,1061.0
111.0,1198.0,279.7,1008.0
112.0,1175.0,280.1,913.0
113.0,1305.0,279.4,1082.0
114.0,1244.0,279.6,1008.0
115.0,1162.0,279.7,913.0
116.0,1248.0,279.9,1008.0
117.0,1284.0,279.0,1040.0
118.0,1218.0,279.7,997.0
119.0,1205.0,280.3,955.0
