Vernier Format 2
cstr_600_100_1.txt 8/2/118 13:32:7
Run 1
Time	Conductivity	Conductivity	Conductivity	
T	C	C	C	
s	µS/cm	µS/cm	µS/cm	

0	1028	1603	1228	
1	1078	1623	1318	
2	1008	1612	1262	
3	1018	1603	1318	
4	1058	1582	1340	
5	998	1603	1239	
6	1058	1633	1307	
7	1028	1643	1329	
8	1018	1612	1251	
9	1067	1582	1329	
10	989	1593	1262	
11	1038	1603	1307	
12	1078	1612	1385	
13	1018	1623	1251	
14	1038	1623	1251	
15	1048	1593	1362	
16	959	1612	1262	
17	1048	1612	1296	
18	1018	1612	1351	
19	1008	1603	1228	
20	1067	1623	1307	
21	1028	1643	1318	
22	998	1612	1251	
23	1048	1582	1362	
24	959	1593	1239	
25	1048	1623	1262	
26	1058	1633	1385	
27	1018	1612	1228	
28	1038	1603	1329	
29	1028	1603	1262	
30	969	1612	1251	
31	1078	1612	1396	
32	1048	1603	1251	
33	1097	1612	1262	
34	1176	1603	1351	
35	1186	1582	1262	
36	1285	1582	1340	
37	1245	1572	1273	
38	1315	1593	1262	
39	1443	1603	1340	
40	1354	1603	1273	
41	1472	1553	1307	
42	1452	1542	1273	
43	1433	1582	1195	
44	1522	1612	1351	
45	1463	1612	1251	
46	1502	1582	1273	
47	1463	1562	1307	
48	1452	1572	1239	
49	1581	1603	1340	
50	1472	1603	1262	
51	1551	1572	1284	
52	1511	1553	1273	
53	1482	1582	1195	
54	1581	1593	1340	
55	1482	1582	1239	
56	1561	1582	1284	
57	1541	1572	1284	
58	1472	1572	1262	
59	1551	1572	1340	
60	1502	1582	1228	
61	1591	1582	1273	
62	1531	1593	1307	
63	1482	1572	1262	
64	1581	1553	1340	
65	1502	1553	1217	
66	1600	1603	1273	
67	1551	1603	1329	
68	1482	1582	1239	
69	1581	1542	1351	
70	1492	1572	1195	
71	1581	1582	1273	
72	1581	1612	1362	
73	1482	1582	1228	
74	1571	1562	1307	
75	1492	1553	1251	
76	1541	1582	1251	
77	1600	1603	1362	
78	1502	1603	1239	
79	1571	1542	1318	
80	1502	1553	1262	
81	1511	1582	1228	
82	1581	1623	1362	
83	1492	1603	1217	
84	1591	1562	1284	
85	1511	1562	1262	
86	1502	1572	1262	
87	1600	1582	1340	
88	1502	1603	1217	
89	1600	1582	1307	
90	1482	1553	1239	
91	1551	1572	1273	
92	1581	1582	1340	
93	1511	1572	1228	
94	1611	1572	1340	
95	1502	1572	1239	
96	1511	1582	1284	
97	1541	1582	1362	
98	1511	1582	1173	
99	1591	1582	1340	
100	1502	1582	1273	
101	1502	1582	1273	
102	1541	1582	1351	
103	1511	1572	1206	
104	1581	1582	1351	
105	1492	1603	1239	
106	1511	1582	1262	
107	1531	1562	1307	
108	1511	1582	1173	
109	1611	1603	1318	
110	1502	1582	1262	
111	1541	1572	1251	
112	1551	1562	1307	
113	1502	1582	1184	
114	1600	1603	1307	
115	1502	1582	1251	
116	1551	1553	1307	
117	1531	1542	1284	
118	1511	1582	1195	
119	1581	1612	1340	
120	1463	1603	1251	
121	1541	1553	1340	
122	1472	1542	1273	
123	1502	1603	1217	
