Vernier Format 2
cstr_600_100_2.txt 8/9/118 13:5:2
Run 1
Time	Conductivity	
226	1577	
227	1607	
228	1587	
229	1587	
230	1587	
231	1577	
232	1577	
233	1597	
234	1587	
235	1577	
236	1557	
237	1568	
238	1577	
239	1587	
240	1557	
241	1568	
242	1557	
243	1577	
244	1577	
245	1587	
246	1557	
247	1577	
248	1548	
249	1568	
250	1577	
251	1587	
252	1548	
253	1557	
254	1548	
255	1577	
256	1577	
257	1548	
258	1577	
259	1557	
260	1548	
261	1577	
262	1548	
263	1577	
264	1557	
265	1568	
266	1557	
267	1568	
268	1538	
269	1557	
270	1548	
271	1538	
272	1538	
273	1557	
274	1557	
275	1538	
276	1528	
277	1548	
278	1557	
279	1538	
280	1557	
281	1528	
282	1557	
283	1538	
284	1538	
285	1528	
286	1528	
287	1538	
288	1538	
289	1548	
290	1548	
291	1548	
292	1518	
293	1518	
294	1528	
295	1548	
296	1538	
297	1528	
298	1538	
299	1538	
300	1518	
301	1518	
302	1518	
303	1518	
304	1509	
305	1538	
306	1538	
307	1538	
308	1538	
309	1538	
310	1538	
311	1538	
312	1538	
313	1538	
314	1538	
315	1509	
316	1538	
317	1509	
318	1509	
319	1509	
320	1509	
321	1509	
322	1509	
323	1509	
324	1528	
325	1528	
326	1528	
327	1528	
328	1498	
329	1509	
330	1509	
331	1509	
332	1509	
333	1509	
334	1498	
335	1509	
336	1498	
337	1489	
338	1489	
339	1498	
340	1498	
341	1498	
342	1518	
343	1518	
344	1489	
345	1509	
346	1518	
347	1479	
348	1509	
349	1479	
350	1489	
351	1509	
352	1509	
353	1489	
354	1479	
355	1509	
356	1498	
357	1479	
358	1479	
359	1469	
360	1469	
361	1498	
362	1498	
363	1498	
364	1479	
365	1498	
366	1498	
367	1498	
368	1479	
369	1498	
370	1509	
371	1469	
372	1489	
373	1469	
374	1498	
375	1479	
376	1489	
377	1498	
378	1498	
379	1459	
380	1489	
381	1469	
382	1489	
383	1469	
384	1489	
385	1469	
386	1459	
387	1479	
388	1479	
389	1459	
390	1469	
391	1489	
392	1459	
393	1459	
394	1489	
395	1479	
396	1469	
397	1459	
398	1479	
399	1459	
400	1479	
401	1459	
402	1479	
403	1459	
404	1459	
405	1479	
406	1469	
407	1469	
408	1469	
409	1469	
410	1449	
411	1449	
412	1459	
413	1469	
414	1469	
415	1459	
416	1459	
417	1449	
418	1439	
419	1469	
420	1449	
421	1449	
422	1469	
423	1459	
424	1459	
425	1459	
426	1449	
427	1459	
428	1429	
429	1459	
430	1449	
431	1449	
432	1459	
433	1439	
434	1459	
435	1459	
436	1429	
437	1429	
438	1459	
439	1449	
440	1420	
441	1449	
442	1449	
443	1429	
444	1420	
445	1459	
446	1449	
447	1449	
448	1449	
449	1449	
450	1429	
451	1420	
452	1439	
453	1429	
454	1449	
455	1429	
456	1429	
457	1429	
458	1439	
459	1429	
460	1449	
461	1420	
462	1420	
463	1429	
464	1449	
465	1449	
466	1449	
467	1439	
468	1439	
469	1429	
470	1429	
471	1439	
472	1439	
473	1439	
474	1429	
475	1429	
476	1409	
477	1420	
478	1420	
479	1429	
480	1429	
481	1420	
482	1429	
483	1429	
484	1429	
485	1420	
486	1429	
487	1429	
488	1429	
489	1429	
490	1439	
491	1420	
492	1390	
493	1400	
494	1409	
495	1420	
496	1420	
497	1420	
498	1420	
499	1420	
500	1390	
501	1390	
502	1420	
503	1420	
504	1420	
505	1400	
506	1400	
507	1400	
508	1420	
509	1390	
510	1390	
511	1420	
512	1400	
513	1409	
514	1409	
515	1420	
516	1420	
517	1390	
518	1390	
519	1400	
520	1400	
521	1420	
522	1390	
523	1400	
524	1420	
525	1390	
526	1400	
527	1390	
528	1390	
529	1400	
530	1409	
531	1390	
532	1390	
533	1390	
534	1400	
535	1380	
536	1409	
537	1390	
538	1380	
539	1420	
540	1400	
541	1380	
542	1390	
543	1400	
544	1380	
545	1380	
546	1400	
547	1380	
548	1390	
549	1390	
550	1380	
551	1400	
552	1370	
553	1380	
554	1390	
555	1380	
556	1390	
557	1370	
558	1390	
559	1390	
560	1370	
561	1380	
562	1390	
563	1370	
564	1370	
565	1400	
566	1390	
567	1370	
568	1360	
569	1360	
570	1390	
571	1390	
572	1360	
573	1390	
574	1360	
575	1390	
576	1380	
577	1370	
578	1390	
579	1360	
580	1350	
581	1380	
582	1370	
583	1390	
584	1360	
585	1380	
586	1360	
587	1390	
588	1370	
589	1380	
590	1380	
591	1370	
592	1380	
593	1350	
594	1380	
595	1350	
596	1390	
597	1380	
598	1360	
599	1380	
600	1350	
601	1350	
602	1360	
603	1380	
604	1350	
605	1350	
606	1380	
607	1350	
608	1370	
609	1370	
610	1350	
611	1370	
612	1370	
613	1360	
614	1350	
615	1370	
616	1370	
617	1370	
618	1340	
619	1370	
620	1340	
621	1350	
622	1370	
623	1350	
624	1370	
625	1350	
626	1350	
627	1370	
628	1340	
629	1350	
630	1370	
631	1350	
632	1350	
633	1360	
634	1360	
635	1360	
636	1350	
637	1360	
638	1360	
639	1340	
640	1360	
641	1360	
642	1340	
643	1340	
644	1331	
645	1340	
646	1350	
647	1360	
648	1350	
649	1340	
650	1331	
651	1321	
652	1350	
653	1350	
654	1340	
655	1350	
656	1350	
657	1350	
658	1321	
659	1331	
660	1331	
661	1340	
662	1321	
663	1340	
664	1340	
665	1321	
666	1321	
667	1321	
668	1321	
669	1321	
670	1340	
671	1331	
672	1321	
673	1321	
674	1331	
675	1331	
676	1340	
677	1350	
678	1331	
679	1350	
680	1340	
681	1311	
682	1321	
683	1340	
684	1321	
685	1321	
686	1340	
687	1340	
688	1331	
689	1340	
690	1340	
691	1340	
692	1311	
693	1311	
694	1311	
695	1340	
696	1340	
697	1331	
698	1331	
699	1321	
700	1311	
701	1340	
702	1311	
703	1311	
704	1340	
705	1311	
706	1321	
707	1331	
708	1311	
709	1311	
710	1311	
711	1340	
712	1311	
713	1321	
714	1331	
715	1331	
716	1331	
717	1311	
718	1311	
719	1340	
720	1340	
721	1311	
722	1301	
723	1301	
724	1301	
725	1331	
726	1321	
727	1311	
728	1311	
729	1301	
730	1311	
731	1331	
732	1321	
733	1301	
734	1311	
735	1331	
736	1301	
737	1331	
738	1321	
739	1311	
740	1321	
741	1301	
742	1301	
743	1321	
744	1321	
745	1331	
746	1301	
747	1301	
748	1301	
749	1321	
750	1321	
751	1301	
752	1301	
753	1321	
754	1311	
755	1321	
756	1311	
757	1301	
758	1311	
759	1311	
760	1291	
761	1311	
762	1301	
763	1311	
764	1301	
765	1301	
766	1311	
767	1301	
768	1311	
769	1311	
770	1281	
771	1301	
772	1291	
773	1311	
774	1291	
775	1281	
776	1291	
777	1311	
778	1311	
779	1311	
780	1311	
781	1291	
782	1301	
783	1301	
784	1311	
785	1311	
786	1311	
787	1281	
788	1291	
789	1291	
790	1291	
791	1311	
792	1311	
793	1272	
794	1311	
795	1301	
796	1272	
797	1311	
798	1301	
799	1291	
800	1281	
801	1301	
802	1281	
803	1301	
804	1272	
805	1301	
806	1281	
807	1301	
808	1281	
809	1291	
810	1301	
811	1311	
812	1272	
813	1272	
814	1301	
815	1272	
816	1301	
817	1272	
818	1301	
819	1261	
820	1281	
821	1291	
822	1272	
823	1291	
824	1261	
825	1291	
826	1301	
827	1291	
828	1272	
829	1301	
830	1261	
831	1272	
832	1291	
833	1272	
834	1291	
835	1272	
836	1301	
837	1291	
838	1261	
839	1261	
840	1261	
841	1291	
842	1261	
843	1272	
844	1272	
845	1291	
846	1291	
847	1291	
848	1261	
849	1291	
850	1281	
851	1261	
852	1291	
853	1261	
854	1291	
855	1291	
856	1261	
857	1291	
858	1281	
859	1272	
860	1272	
861	1281	
862	1252	
863	1261	
864	1281	
865	1281	
866	1281	
867	1252	
868	1261	
869	1261	
870	1261	
871	1272	
872	1252	
873	1261	
874	1281	
875	1261	
876	1261	
877	1261	
878	1281	
879	1272	
880	1281	
881	1272	
882	1261	
883	1261	
884	1261	
885	1261	
886	1272	
887	1252	
888	1281	
889	1261	
890	1272	
891	1252	
892	1272	
893	1252	
894	1252	
895	1252	
896	1272	
897	1242	
898	1252	
899	1242	
900	1261	
901	1261	
902	1242	
903	1261	
904	1272	
905	1281	
906	1261	
907	1242	
908	1272	
909	1272	
910	1252	
911	1261	
912	1272	
913	1272	
914	1272	
915	1252	
916	1252	
917	1242	
918	1261	
919	1272	
920	1252	
921	1261	
922	1242	
923	1261	
924	1261	
925	1261	
926	1252	
927	1272	
928	1242	
929	1242	
930	1261	
931	1261	
932	1261	
933	1252	
934	1242	
935	1242	
936	1232	
937	1232	
938	1232	
939	1242	
940	1242	
941	1242	
942	1242	
943	1242	
944	1232	
945	1242	
946	1232	
947	1232	
948	1242	
949	1232	
950	1252	
951	1252	
952	1242	
953	1252	
954	1242	
955	1242	
956	1232	
957	1261	
958	1261	
959	1261	
960	1242	
961	1242	
962	1242	
963	1252	
964	1242	
965	1242	
966	1232	
967	1232	
968	1232	
969	1242	
970	1232	
971	1252	
972	1252	
973	1261	
974	1242	
975	1242	
976	1232	
977	1252	
978	1232	
979	1252	
980	1261	
981	1232	
982	1261	
983	1261	
984	1261	
985	1252	
986	1242	
987	1232	
988	1232	
989	1242	
990	1232	
991	1261	
992	1261	
993	1242	
994	1232	
995	1252	
996	1242	
997	1252	
998	1252	
999	1232	
1000	1232	
1001	1232	
1002	1242	
1003	1252	
1004	1242	
1005	1232	
1006	1232	
1007	1232	
1008	1242	
1009	1252	
1010	1242	
1011	1232	
1012	1232	
1013	1232	
1014	1222	
1015	1252	
1016	1252	
1017	1232	
1018	1232	
1019	1252	
1020	1242	
1021	1242	
1022	1252	
1023	1242	
1024	1242	
1025	1222	
1026	1222	
1027	1242	
1028	1242	
1029	1222	
1030	1222	
1031	1242	
1032	1242	
1033	1232	
1034	1242	
1035	1222	
1036	1232	
1037	1242	
1038	1222	
1039	1232	
1040	1232	
1041	1232	
1042	1242	
1043	1242	
1044	1212	
1045	1222	
1046	1232	
1047	1222	
1048	1232	
1049	1222	
1050	1242	
1051	1222	
1052	1232	
1053	1232	
1054	1212	
1055	1222	
1056	1232	
1057	1232	
1058	1222	
1059	1242	
1060	1212	
1061	1232	
1062	1212	
1063	1222	
1064	1232	
1065	1212	
1066	1242	
1067	1212	
1068	1232	
1069	1232	
1070	1232	
1071	1222	
1072	1232	
1073	1232	
1074	1212	
1075	1232	
1076	1212	
1077	1212	
1078	1232	
1079	1232	
1080	1232	
1081	1232	
1082	1232	
1083	1222	
1084	1232	
1085	1212	
1086	1232	
1087	1212	
1088	1232	
1089	1202	
1090	1212	
1091	1232	
1092	1232	
1093	1222	
1094	1212	
1095	1222	
1096	1202	
1097	1222	
1098	1232	
1099	1232	
1100	1212	
1101	1212	
1102	1232	
1103	1232	
1104	1232	
1105	1232	
1106	1222	
1107	1232	
1108	1212	
1109	1222	
1110	1232	
1111	1232	
1112	1232	
1113	1212	
1114	1192	
1115	1232	
1116	1212	
1117	1212	
1118	1232	
1119	1232	
1120	1212	
1121	1192	
1122	1202	
1123	1202	
1124	1202	
1125	1222	
1126	1192	
1127	1222	
1128	1232	
1129	1222	
1130	1212	
1131	1232	
1132	1222	
1133	1232	
1134	1222	
1135	1212	
1136	1202	
1137	1222	
1138	1222	
1139	1232	
1140	1232	
1141	1192	
1142	1222	
1143	1222	
1144	1222	
1145	1232	
1146	1192	
1147	1192	
1148	1212	
1149	1222	
1150	1192	
1151	1222	
1152	1192	
1153	1222	
1154	1202	
1155	1212	
1156	1222	
1157	1192	
1158	1192	
1159	1222	
1160	1202	
1161	1222	
1162	1222	
1163	1192	
1164	1212	
1165	1212	
1166	1222	
1167	1222	
1168	1212	
1169	1202	
1170	1192	
1171	1222	
1172	1222	
1173	1202	
1174	1192	
1175	1212	
1176	1222	
1177	1222	
1178	1222	
1179	1212	
1180	1192	
1181	1212	
1182	1212	
1183	1212	
1184	1222	
1185	1192	
1186	1212	
1187	1222	
1188	1192	
1189	1192	
1190	1192	
1191	1212	
1192	1192	
1193	1192	
1194	1212	
1195	1222	
1196	1222	
1197	1212	
1198	1212	
1199	1222	
1200	1212	
1201	1192	
1202	1192	
1203	1192	
1204	1183	
1205	1192	
1206	1222	
1207	1212	
1208	1212	
1209	1192	
1210	1192	
1211	1212	
1212	1212	
1213	1183	
1214	1192	
1215	1192	
1216	1192	
1217	1212	
1218	1202	
1219	1212	
1220	1192	
1221	1212	
1222	1212	
1223	1202	
1224	1192	
1225	1212	
1226	1192	
1227	1212	
1228	1212	
1229	1212	
1230	1212	
1231	1202	
1232	1183	
1233	1192	
1234	1212	
1235	1212	
1236	1183	
1237	1212	
1238	1192	
1239	1212	
1240	1183	
1241	1192	
1242	1192	
1243	1192	
1244	1212	
1245	1212	
1246	1183	
1247	1192	
1248	1183	
1249	1183	
1250	1183	
1251	1183	
1252	1192	
1253	1212	
1254	1202	
1255	1202	
1256	1183	
1257	1212	
1258	1183	
1259	1192	
1260	1202	
1261	1192	
1262	1202	
1263	1202	
1264	1202	
1265	1202	
1266	1183	
1267	1183	
1268	1202	
1269	1172	
1270	1192	
1271	1212	
1272	1172	
1273	1183	
1274	1192	
1275	1183	
1276	1183	
1277	1183	
1278	1212	
1279	1192	
1280	1183	
1281	1183	
1282	1192	
1283	1202	
1284	1183	
1285	1172	
1286	1172	
1287	1192	
1288	1183	
1289	1192	
1290	1183	
1291	1192	
1292	1202	
1293	1192	
1294	1202	
1295	1183	
1296	1163	
1297	1192	
1298	1192	
1299	1172	
1300	1172	
1301	1192	
1302	1192	
1303	1192	
1304	1192	
1305	1192	
1306	1192	
1307	1172	
1308	1183	
1309	1202	
1310	1172	
1311	1192	
1312	1183	
1313	1202	
1314	1192	
1315	1192	
1316	1163	
1317	1172	
1318	1172	
1319	1192	
1320	1183	
1321	1192	
1322	1192	
1323	1172	
1324	1192	
1325	1192	
1326	1192	
