Vernier Format 2
cstr_600_100_2.txt 8/9/118 13:5:2
Run 1
Time	Conductivity	
T	C	
s	µS/cm	

0	1183	
1	1212	
2	1202	
3	1183	
4	1192	
5	1183	
6	1192	
7	1192	
8	1202	
9	1183	
10	1202	
11	1192	
12	1183	
13	1202	
14	1202	
15	1192	
16	1183	
17	1183	
18	1212	
19	1212	
20	1183	
21	1212	
22	1183	
23	1212	
24	1183	
25	1212	
26	1183	
27	1192	
28	1202	
29	1202	
30	1192	
31	1172	
32	1172	
33	1192	
34	1192	
35	1172	
36	1183	
37	1192	
38	1183	
39	1183	
40	1202	
41	1192	
42	1192	
43	1202	
44	1183	
45	1202	
46	1183	
47	1222	
48	1311	
49	1311	
50	1390	
51	1370	
52	1420	
53	1420	
54	1420	
55	1439	
56	1538	
57	1627	
58	1666	
59	1587	
60	1666	
61	1686	
62	1735	
63	1716	
64	1676	
65	1657	
66	1646	
67	1627	
68	1716	
69	1676	
70	1696	
71	1686	
72	1686	
73	1696	
74	1686	
75	1696	
76	1716	
77	1676	
78	1696	
79	1696	
80	1716	
81	1696	
82	1686	
83	1716	
84	1706	
85	1696	
86	1696	
87	1686	
88	1686	
89	1706	
90	1706	
91	1706	
92	1706	
93	1686	
94	1696	
95	1686	
96	1686	
97	1686	
98	1686	
99	1706	
100	1696	
101	1686	
102	1686	
103	1696	
104	1686	
105	1676	
106	1706	
107	1686	
108	1696	
109	1686	
110	1686	
111	1686	
112	1686	
113	1676	
114	1666	
115	1696	
116	1696	
117	1696	
118	1696	
119	1696	
120	1696	
121	1686	
122	1666	
123	1666	
124	1686	
125	1696	
126	1666	
127	1696	
128	1666	
129	1666	
130	1676	
131	1696	
132	1666	
133	1657	
134	1686	
135	1686	
136	1657	
137	1666	
138	1676	
139	1657	
140	1666	
141	1637	
142	1666	
143	1646	
144	1657	
145	1666	
146	1657	
147	1646	
148	1666	
149	1637	
150	1666	
151	1637	
152	1657	
153	1627	
154	1646	
155	1637	
156	1666	
157	1637	
158	1627	
159	1657	
160	1657	
161	1666	
162	1627	
163	1627	
164	1627	
165	1637	
166	1657	
167	1646	
168	1627	
169	1657	
170	1627	
171	1627	
172	1646	
173	1627	
174	1646	
175	1627	
176	1617	
177	1646	
178	1627	
179	1627	
180	1607	
181	1617	
182	1607	
183	1627	
184	1627	
185	1607	
186	1637	
187	1637	
188	1607	
189	1607	
190	1627	
191	1617	
192	1617	
193	1607	
194	1607	
195	1607	
196	1617	
197	1617	
198	1607	
199	1597	
200	1627	
201	1627	
202	1607	
203	1597	
204	1617	
205	1617	
206	1607	
207	1597	
208	1607	
209	1617	
210	1617	
211	1607	
212	1607	
213	1607	
214	1607	
215	1607	
216	1607	
217	1607	
218	1607	
219	1597	
220	1577	
221	1577	
222	1577	
223	1607	
224	1597	
225	1577	
