Vernier Format 2
pfr_fl800_D0250.txt 7/28/118 13:29:7
Run 1
Time	Conductivity	Conductivity	Conductivity	
T	C	C	C	
s	µS/cm	µS/cm	µS/cm	

0	1296	279.7	1008	
1	1313	280.0	1029	
2	1300	280.6	1050	
3	1272	280.7	1040	
4	1260	280.3	997	
5	1270	279.4	997	
6	1277	279.8	1050	
7	1277	280.7	1029	
8	1241	281.1	1018	
9	1212	280.6	976	
10	1208	279.9	965	
11	1204	279.9	987	
12	1217	280.7	987	
13	1214	281.1	955	
14	1188	281.1	901	
15	1167	280.3	891	
16	1160	280.3	923	
17	1184	280.6	965	
18	1209	280.9	933	
19	1204	281.0	901	
20	1182	280.6	881	
21	1160	280.4	923	
22	1175	280.6	944	
23	1198	280.6	933	
24	1223	280.6	913	
25	1216	280.6	913	
26	1191	280.4	913	
27	1191	280.6	955	
28	1205	280.4	965	
29	1241	280.4	955	
30	1251	280.4	955	
31	1264	280.3	965	
32	1247	280.5	997	
33	1230	280.6	1018	
34	1248	280.4	997	
35	1271	279.9	976	
36	1285	279.8	1008	
37	1293	280.3	1040	
38	1275	280.6	1040	
39	1255	280.7	1029	
40	1261	280.1	997	
41	1285	279.9	1018	
42	1306	279.7	1029	
43	1290	280.3	1072	
44	1277	280.6	1061	
45	1266	280.6	1029	
46	1265	279.9	1008	
47	1289	279.7	1018	
48	1305	279.7	1040	
49	1293	280.4	1072	
50	1270	280.7	1040	
51	1269	280.6	1018	
52	1266	279.7	1008	
53	1288	279.6	1008	
54	1300	279.7	1040	
55	1296	280.3	1050	
56	1277	280.6	1061	
57	1263	280.6	1061	
58	1254	280.1	1018	
59	1283	279.9	987	
60	1295	279.8	1008	
61	1281	280.2	1018	
62	1251	280.5	1040	
63	1246	280.6	1029	
64	1239	280.6	1018	
65	1265	280.2	976	
66	1260	280.2	965	
67	1253	280.3	955	
68	1228	280.5	987	
69	1205	280.4	997	
70	1188	280.6	987	
71	1205	280.6	923	
72	1208	280.6	923	
73	1192	280.9	891	
74	1175	280.7	901	
75	1166	280.1	913	
76	1166	280.1	933	
77	1187	280.6	955	
78	1214	280.8	944	
79	1206	281.0	933	
80	1200	281.1	913	
81	1193	280.3	944	
82	1198	279.7	1018	
83	1226	279.4	1156	
84	1245	279.7	1400	
85	1260	279.8	1676	
86	1258	280.0	1930	
87	1238	279.8	2121	
88	1214	279.1	2344	
89	1191	279.0	2386	
90	1129	279.3	2322	
91	1107	279.7	2259	
92	1136	279.5	2142	
93	1196	278.9	2057	
94	1251	278.8	1887	
95	1260	279.1	1686	
96	1233	279.4	1549	
97	1169	279.7	1390	
98	1141	279.9	1273	
99	1155	279.9	1209	
100	1194	279.9	1177	
101	1235	280.5	1188	
102	1270	280.7	1167	
103	1270	280.7	1156	
104	1261	280.3	1135	
105	1257	279.9	1082	
106	1272	279.7	1040	
107	1261	280.1	997	
108	1226	280.4	944	
109	1184	280.3	933	
110	1155	280.5	933	
111	1175	280.3	965	
112	1204	280.5	987	
113	1224	280.7	997	
114	1236	281.1	997	
115	1233	280.8	997	
116	1241	280.1	1018	
117	1266	279.4	1040	
118	1303	279.5	1040	
