Vernier Format 2
cstr_1200_200_series.txt 8/4/118 14:29:36
Run 1
Time	Conductivity	Conductivity	
T	C	C	
s	µS/cm	µS/cm	

0	810	801	
1	801	831	
2	791	841	
3	771	841	
4	791	801	
5	791	801	
6	742	812	
7	742	801	
8	742	821	
9	810	821	
10	810	831	
11	810	821	
12	771	812	
13	751	801	
14	742	782	
15	771	791	
16	762	782	
17	742	821	
18	840	791	
19	1006	801	
20	1173	782	
21	1438	771	
22	1516	741	
23	1486	761	
24	1702	731	
25	1673	741	
26	1732	752	
27	1751	771	
28	1761	771	
29	1800	791	
30	1790	791	
31	1810	791	
32	1800	841	
33	1800	831	
34	1771	821	
35	1780	791	
36	1790	791	
37	1741	812	
38	1751	791	
39	1761	821	
40	1771	812	
41	1761	831	
42	1761	841	
43	1771	841	
44	1790	851	
45	1761	881	
46	1741	871	
47	1751	871	
48	1751	901	
49	1761	881	
50	1741	871	
51	1751	871	
52	1751	871	
53	1712	861	
54	1732	861	
55	1682	881	
56	1712	871	
57	1682	871	
58	1702	871	
59	1682	871	
60	1673	881	
61	1682	881	
62	1712	881	
63	1682	891	
64	1673	901	
65	1663	921	
66	1692	901	
67	1673	931	
68	1682	931	
69	1663	931	
70	1682	931	
71	1702	931	
72	1663	931	
73	1663	941	
74	1682	931	
75	1682	931	
76	1653	931	
77	1633	931	
78	1653	931	
79	1633	931	
80	1643	931	
81	1624	931	
82	1643	931	
83	1594	951	
84	1594	941	
85	1633	931	
86	1624	931	
87	1594	931	
88	1565	951	
89	1604	951	
90	1574	931	
91	1574	931	
92	1565	951	
93	1574	951	
94	1574	961	
95	1604	961	
96	1594	971	
97	1594	971	
98	1594	971	
99	1594	981	
100	1585	1001	
101	1604	981	
102	1594	1001	
103	1594	1001	
104	1565	1001	
105	1565	1011	
106	1594	1001	
107	1555	1011	
108	1565	1001	
109	1555	1011	
110	1545	1021	
111	1535	1001	
112	1545	1001	
113	1535	1021	
114	1526	1011	
115	1555	1001	
116	1535	1001	
117	1526	1001	
118	1526	991	
119	1506	1011	
120	1477	1001	
121	1516	981	
122	1526	991	
