Time (s),CH1 Conductivity (muS/cm),CH2 Conductivity (muS/cm),CH3 Conductivity (muS/cm)
179.0,1233.0,278.9,1018.0
180.0,1153.0,278.7,965.0
181.0,1252.0,278.1,1029.0
182.0,1276.0,278.4,1018.0
183.0,1179.0,279.0,901.0
184.0,1185.0,278.7,944.0
185.0,1258.0,278.3,1029.0
186.0,1206.0,279.0,923.0
187.0,1208.0,279.3,987.0
188.0,1270.0,279.0,1072.0
189.0,1184.0,278.8,965.0
190.0,1176.0,278.4,965.0
191.0,1281.0,278.0,1050.0
192.0,1248.0,278.5,955.0
193.0,1166.0,279.0,923.0
194.0,1231.0,278.4,1018.0
195.0,1233.0,278.5,997.0
196.0,1190.0,279.2,955.0
197.0,1261.0,279.0,1040.0
198.0,1248.0,278.8,1040.0
199.0,1148.0,278.8,955.0
200.0,1212.0,277.9,987.0
201.0,1279.0,278.2,1008.0
202.0,1193.0,278.9,913.0
203.0,1197.0,279.0,965.0
204.0,1251.0,278.8,1050.0
205.0,1184.0,278.6,987.0
206.0,1202.0,278.6,987.0
207.0,1289.0,278.4,1050.0
208.0,1227.0,278.6,965.0
209.0,1155.0,278.7,923.0
210.0,1245.0,278.1,1018.0
211.0,1247.0,278.4,997.0
212.0,1198.0,279.0,955.0
213.0,1261.0,279.0,1050.0
214.0,1239.0,278.8,1040.0
215.0,1151.0,278.7,933.0
216.0,1217.0,277.9,997.0
217.0,1281.0,278.1,997.0
218.0,1191.0,279.0,913.0
219.0,1216.0,279.3,987.0
220.0,1244.0,278.8,1072.0
221.0,1170.0,278.8,976.0
222.0,1199.0,278.5,987.0
223.0,1289.0,278.2,1050.0
224.0,1231.0,278.5,944.0
225.0,1173.0,279.0,913.0
226.0,1236.0,278.4,1029.0
227.0,1223.0,278.6,997.0
228.0,1180.0,278.8,944.0
229.0,1265.0,278.8,1040.0
230.0,1270.0,278.7,1040.0
231.0,1161.0,278.6,923.0
232.0,1187.0,278.3,965.0
233.0,1261.0,277.9,1008.0
234.0,1209.0,278.8,933.0
235.0,1210.0,279.3,976.0
