Vernier Format 2
cstr_600_300_series.txt 8/4/118 13:19:36
Run 1
Time	Conductivity	Conductivity	
T	C	C	
s	µS/cm	µS/cm	

0	1320	801	
1	1310	791	
2	1280	782	
3	1280	782	
4	1280	782	
5	1320	791	
6	1310	801	
7	1330	821	
8	1310	821	
9	1330	791	
10	1280	821	
11	1291	801	
12	1291	782	
13	1291	791	
14	1330	791	
15	1310	821	
16	1310	821	
17	1310	831	
18	1291	831	
19	1310	821	
20	1291	791	
21	1300	791	
22	1280	812	
23	1320	812	
24	1320	831	
25	1310	831	
26	1330	841	
27	1330	821	
28	1291	821	
29	1310	801	
30	1280	791	
31	1300	801	
32	1280	821	
33	1300	841	
34	1291	851	
35	1291	851	
36	1310	851	
37	1310	841	
38	1280	821	
39	1291	801	
40	1291	821	
41	1280	841	
42	1310	821	
43	1280	841	
44	1320	841	
45	1291	841	
46	1320	841	
47	1280	841	
48	1271	831	
49	1291	821	
50	1280	812	
51	1280	841	
52	1280	841	
53	1280	861	
54	1280	871	
55	1280	851	
56	1271	871	
57	1261	851	
58	1280	841	
59	1280	841	
60	1280	841	
61	1251	841	
62	1261	841	
63	1291	841	
64	1300	841	
65	1291	861	
66	1261	881	
67	1251	881	
68	1251	851	
69	1251	851	
70	1251	841	
71	1261	841	
72	1251	841	
73	1280	841	
74	1261	851	
75	1291	851	
76	1291	871	
77	1280	851	
78	1280	851	
79	1261	841	
80	1261	841	
81	1251	851	
82	1232	861	
83	1241	841	
84	1271	861	
85	1251	881	
86	1251	881	
87	1251	871	
88	1251	861	
89	1251	881	
90	1241	851	
91	1232	841	
92	1232	851	
93	1222	871	
94	1222	881	
95	1241	881	
96	1251	881	
97	1251	881	
98	1232	891	
99	1251	881	
100	1222	881	
101	1212	881	
102	1251	851	
103	1212	851	
104	1222	861	
105	1212	861	
106	1212	881	
107	1241	881	
108	1222	911	
109	1241	881	
110	1212	901	
111	1222	901	
112	1232	831	
113	1232	871	
114	1202	861	
115	1241	861	
116	1212	871	
117	1232	871	
118	1222	881	
119	1222	891	
120	1251	881	
121	1232	901	
122	1241	891	
