Time (s),CH1 Conductivity (muS/cm),CH2 Conductivity (muS/cm),CH3 Conductivity (muS/cm)
0.0,1226.0,279.3,1008.0
1.0,1261.0,280.2,1040.0
2.0,1287.0,279.4,1040.0
3.0,1216.0,280.1,955.0
4.0,1166.0,279.5,923.0
5.0,1245.0,280.5,997.0
6.0,1284.0,279.0,1029.0
7.0,1261.0,280.1,1061.0
8.0,1241.0,279.9,944.0
9.0,1175.0,279.9,965.0
10.0,1185.0,280.2,955.0
11.0,1293.0,279.9,1082.0
12.0,1282.0,279.3,1018.0
13.0,1220.0,279.7,1018.0
14.0,1210.0,280.3,913.0
15.0,1180.0,279.4,965.0
16.0,1251.0,280.4,1040.0
17.0,1314.0,279.4,1050.0
18.0,1223.0,280.0,1018.0
19.0,1185.0,280.1,923.0
20.0,1211.0,280.3,997.0
21.0,1233.0,279.3,997.0
22.0,1295.0,279.7,1072.0
23.0,1267.0,279.3,987.0
24.0,1174.0,279.7,965.0
25.0,1206.0,280.3,933.0
26.0,1218.0,278.9,1008.0
27.0,1271.0,279.9,1072.0
28.0,1294.0,279.1,987.0
29.0,1174.0,279.4,965.0
30.0,1194.0,280.2,923.0
31.0,1271.0,279.1,1029.0
32.0,1267.0,279.5,1040.0
33.0,1283.0,279.3,1008.0
34.0,1211.0,279.5,976.0
35.0,1170.0,279.6,913.0
36.0,1247.0,279.7,997.0
37.0,1264.0,279.0,1018.0
38.0,1294.0,279.7,1072.0
39.0,1257.0,279.3,976.0
40.0,1164.0,279.7,976.0
41.0,1198.0,280.2,955.0
42.0,1226.0,278.9,1008.0
43.0,1271.0,279.9,1061.0
44.0,1303.0,279.0,1040.0
45.0,1217.0,279.7,1008.0
46.0,1194.0,279.7,901.0
47.0,1209.0,279.7,965.0
48.0,1217.0,279.4,965.0
49.0,1305.0,279.5,1082.0
50.0,1276.0,279.0,1018.0
51.0,1214.0,279.4,976.0
52.0,1200.0,279.9,923.0
53.0,1170.0,279.3,965.0
54.0,1242.0,280.4,1018.0
55.0,1302.0,278.9,1040.0
56.0,1258.0,279.7,1029.0
57.0,1236.0,279.6,923.0
58.0,1184.0,279.6,955.0
59.0,1176.0,279.8,933.0
60.0,1281.0,279.4,1072.0
61.0,1275.0,279.1,1040.0
62.0,1261.0,279.5,1040.0
63.0,1217.0,279.7,944.0
64.0,1166.0,279.4,933.0
65.0,1226.0,280.4,997.0
66.0,1273.0,278.8,1029.0
67.0,1269.0,279.7,1072.0
68.0,1273.0,279.3,965.0
69.0,1175.0,279.7,955.0
70.0,1184.0,280.1,933.0
71.0,1242.0,279.4,1040.0
72.0,1261.0,279.4,1050.0
73.0,1300.0,279.4,1040.0
74.0,1228.0,279.7,965.0
75.0,1160.0,279.5,923.0
76.0,1217.0,280.1,976.0
77.0,1249.0,278.9,1029.0
78.0,1295.0,279.7,1072.0
79.0,1270.0,279.1,965.0
80.0,1168.0,279.7,965.0
81.0,1203.0,280.1,923.0
82.0,1231.0,278.8,1008.0
83.0,1275.0,279.8,1061.0
84.0,1294.0,279.1,997.0
85.0,1194.0,279.7,997.0
86.0,1185.0,279.7,901.0
87.0,1222.0,279.5,1008.0
88.0,1244.0,279.4,1018.0
89.0,1308.0,279.3,1072.0
90.0,1241.0,279.4,997.0
91.0,1174.0,279.4,933.0
92.0,1214.0,279.9,987.0
93.0,1223.0,279.0,997.0
94.0,1296.0,279.7,1092.0
95.0,1279.0,279.0,997.0
96.0,1184.0,279.4,965.0
97.0,1198.0,280.2,913.0
98.0,1231.0,279.0,997.0
99.0,1273.0,279.7,1061.0
100.0,1294.0,279.2,997.0
101.0,1185.0,279.6,955.0
102.0,1181.0,279.9,923.0
103.0,1239.0,279.4,1040.0
104.0,1261.0,279.4,1061.0
105.0,1294.0,279.3,1018.0
106.0,1204.0,279.6,955.0
107.0,1163.0,279.7,901.0
108.0,1255.0,279.7,1040.0
109.0,1273.0,279.0,1040.0
110.0,1267.0,279.6,1040.0
111.0,1216.0,279.7,944.0
112.0,1161.0,279.4,933.0
113.0,1246.0,280.2,1008.0
114.0,1290.0,278.7,1018.0
115.0,1248.0,279.7,1040.0
116.0,1221.0,279.7,913.0
117.0,1174.0,279.3,965.0
118.0,1227.0,279.9,997.0
119.0,1308.0,278.9,1040.0
120.0,1241.0,279.7,1018.0
121.0,1197.0,279.8,913.0
122.0,1203.0,279.7,965.0
123.0,1222.0,279.4,997.0
124.0,1305.0,279.3,1082.0
125.0,1247.0,279.4,997.0
126.0,1166.0,279.5,923.0
127.0,1221.0,279.9,976.0
128.0,1260.0,279.0,1018.0
129.0,1276.0,279.5,1061.0
130.0,1231.0,279.5,923.0
131.0,1160.0,279.4,955.0
132.0,1241.0,280.1,1008.0
133.0,1302.0,278.8,1018.0
134.0,1238.0,279.5,1029.0
135.0,1197.0,279.9,913.0
136.0,1204.0,279.1,997.0
137.0,1258.0,279.9,1040.0
138.0,1296.0,279.1,1008.0
139.0,1193.0,279.6,955.0
140.0,1179.0,279.7,913.0
141.0,1269.0,279.4,1050.0
142.0,1264.0,279.3,1040.0
143.0,1258.0,279.3,997.0
144.0,1188.0,279.7,987.0
145.0,1192.0,279.1,987.0
146.0,1300.0,279.5,1092.0
147.0,1270.0,279.0,1018.0
148.0,1161.0,279.4,997.0
149.0,1214.0,280.1,1050.0
150.0,1265.0,278.4,1135.0
151.0,1254.0,279.4,1209.0
152.0,1199.0,279.7,1092.0
153.0,1167.0,279.0,1199.0
154.0,1259.0,279.6,1336.0
155.0,1281.0,278.5,1336.0
156.0,1135.0,279.1,1379.0
157.0,1169.0,279.5,1474.0
158.0,1295.0,278.2,1644.0
159.0,1190.0,279.0,1591.0
160.0,1131.0,279.1,1527.0
161.0,1248.0,278.6,1771.0
162.0,1245.0,278.9,1771.0
163.0,1131.0,278.8,1644.0
164.0,1193.0,278.8,1814.0
165.0,1253.0,278.4,1814.0
166.0,1147.0,278.7,1676.0
167.0,1173.0,279.1,1771.0
168.0,1254.0,278.3,1814.0
169.0,1185.0,278.7,1697.0
170.0,1155.0,279.4,1708.0
171.0,1246.0,278.1,1728.0
172.0,1215.0,278.8,1686.0
173.0,1156.0,279.6,1559.0
174.0,1226.0,278.3,1623.0
175.0,1242.0,279.0,1612.0
176.0,1166.0,279.6,1410.0
177.0,1194.0,278.3,1496.0
178.0,1261.0,279.3,1517.0
179.0,1180.0,279.4,1315.0
180.0,1178.0,278.6,1368.0
181.0,1264.0,279.4,1432.0
182.0,1218.0,279.0,1273.0
183.0,1159.0,279.0,1305.0
184.0,1251.0,279.6,1347.0
185.0,1246.0,279.1,1209.0
186.0,1162.0,279.0,1188.0
187.0,1242.0,279.5,1251.0
188.0,1277.0,278.9,1188.0
189.0,1166.0,279.4,1135.0
190.0,1206.0,279.2,1167.0
191.0,1291.0,279.2,1220.0
192.0,1198.0,279.6,1072.0
193.0,1164.0,279.2,1072.0
194.0,1295.0,279.5,1209.0
195.0,1252.0,279.3,1050.0
196.0,1147.0,279.2,1029.0
197.0,1281.0,279.7,1167.0
198.0,1270.0,279.0,1050.0
199.0,1159.0,279.1,997.0
200.0,1275.0,279.9,1135.0
201.0,1265.0,279.1,1040.0
202.0,1159.0,279.3,1018.0
203.0,1270.0,279.7,1135.0
204.0,1270.0,279.3,1029.0
205.0,1167.0,279.2,997.0
206.0,1266.0,279.7,1103.0
207.0,1266.0,279.3,1018.0
208.0,1174.0,279.4,1018.0
209.0,1253.0,279.5,1072.0
210.0,1266.0,279.3,1040.0
211.0,1187.0,279.7,976.0
212.0,1246.0,279.3,1040.0
213.0,1275.0,279.2,1040.0
214.0,1187.0,279.7,997.0
215.0,1244.0,279.3,1018.0
216.0,1272.0,279.4,1050.0
217.0,1196.0,279.8,987.0
218.0,1239.0,278.9,1040.0
219.0,1264.0,279.5,1082.0
220.0,1199.0,279.9,955.0
221.0,1236.0,278.6,1008.0
222.0,1261.0,279.5,1072.0
223.0,1199.0,279.8,923.0
224.0,1236.0,278.6,1008.0
225.0,1265.0,279.7,1061.0
226.0,1200.0,279.7,913.0
227.0,1217.0,278.9,1018.0
228.0,1266.0,279.5,1082.0
229.0,1203.0,279.7,933.0
230.0,1230.0,279.3,997.0
231.0,1265.0,279.4,1040.0
232.0,1204.0,279.4,933.0
233.0,1222.0,279.4,1018.0
234.0,1265.0,279.3,1018.0
235.0,1208.0,279.6,944.0
236.0,1227.0,279.7,997.0
237.0,1273.0,279.1,1018.0
238.0,1217.0,279.5,987.0
239.0,1208.0,279.9,987.0
240.0,1282.0,278.6,1018.0
241.0,1217.0,279.7,1008.0
242.0,1206.0,280.3,955.0
243.0,1287.0,278.8,1018.0
244.0,1193.0,279.5,987.0
245.0,1208.0,280.3,965.0
246.0,1299.0,278.8,1040.0
247.0,1185.0,279.4,997.0
248.0,1208.0,280.1,965.0
249.0,1305.0,278.8,1050.0
250.0,1187.0,279.7,987.0
251.0,1194.0,279.7,965.0
252.0,1315.0,279.0,1040.0
253.0,1185.0,279.4,955.0
254.0,1194.0,279.6,976.0
255.0,1302.0,279.3,1050.0
256.0,1193.0,279.5,955.0
257.0,1212.0,279.3,965.0
258.0,1289.0,279.3,1050.0
259.0,1196.0,279.8,955.0
260.0,1227.0,279.1,987.0
261.0,1275.0,279.4,1050.0
262.0,1198.0,279.7,955.0
263.0,1254.0,278.8,1018.0
264.0,1238.0,279.6,1029.0
265.0,1206.0,280.1,913.0
266.0,1275.0,278.7,1018.0
267.0,1221.0,279.5,1029.0
268.0,1199.0,280.2,944.0
269.0,1296.0,278.7,1018.0
270.0,1193.0,279.5,997.0
