Vernier Format 2
cstr_600_300_1.txt 8/2/118 14:1:9
Run 1
Time	Conductivity	Conductivity	Conductivity	
T	C	C	C	
s	µS/cm	µS/cm	µS/cm	

0	1078	1612	1340	
1	1097	1633	1362	
2	1038	1582	1262	
3	979	1623	1262	
4	1038	1612	1251	
5	1067	1593	1307	
6	1097	1623	1362	
7	989	1603	1296	
8	998	1623	1228	
9	1048	1612	1284	
10	1087	1623	1362	
11	1048	1572	1307	
12	1018	1633	1251	
13	989	1612	1251	
14	1097	1603	1318	
15	1078	1623	1362	
16	998	1623	1318	
17	998	1582	1239	
18	1018	1612	1307	
19	1107	1633	1351	
20	1038	1593	1340	
21	1028	1633	1307	
22	969	1603	1228	
23	1048	1612	1262	
24	1078	1612	1318	
25	1078	1623	1351	
26	1038	1593	1296	
27	1008	1623	1273	
28	1028	1612	1217	
29	1107	1582	1307	
30	1147	1633	1362	
31	1117	1593	1262	
32	1186	1612	1206	
33	1255	1582	1307	
34	1344	1612	1318	
35	1315	1572	1340	
36	1334	1603	1262	
37	1354	1593	1251	
38	1463	1553	1340	
39	1423	1612	1340	
40	1363	1572	1251	
41	1463	1582	1228	
42	1511	1572	1340	
43	1472	1603	1307	
44	1403	1553	1217	
45	1472	1582	1251	
46	1551	1603	1351	
47	1452	1582	1307	
48	1433	1582	1228	
49	1492	1582	1273	
50	1551	1612	1351	
51	1463	1553	1284	
52	1433	1603	1228	
53	1511	1582	1273	
54	1541	1572	1340	
55	1492	1593	1318	
56	1423	1572	1228	
57	1511	1582	1195	
58	1561	1572	1318	
59	1541	1612	1351	
60	1472	1553	1228	
61	1463	1593	1217	
62	1551	1593	1318	
63	1531	1553	1329	
64	1482	1603	1251	
65	1463	1582	1251	
66	1581	1603	1296	
67	1502	1572	1307	
68	1443	1603	1228	
69	1522	1582	1251	
70	1571	1562	1307	
71	1502	1612	1307	
72	1452	1553	1228	
73	1541	1582	1273	
74	1571	1562	1362	
75	1482	1612	1262	
76	1472	1582	1173	
77	1541	1553	1307	
78	1551	1603	1362	
79	1452	1562	1217	
80	1502	1582	1217	
81	1561	1582	1340	
82	1492	1603	1273	
83	1492	1582	1184	
84	1541	1562	1284	
85	1581	1612	1340	
86	1463	1572	1217	
87	1502	1603	1206	
88	1541	1572	1351	
89	1522	1603	1318	
90	1463	1562	1195	
91	1511	1562	1239	
92	1591	1603	1329	
93	1472	1572	1273	
94	1492	1582	1195	
95	1522	1582	1284	
96	1551	1582	1340	
97	1492	1553	1228	
98	1463	1593	1217	
99	1551	1603	1307	
100	1511	1542	1329	
101	1463	1603	1228	
102	1463	1582	1251	
103	1571	1582	1329	
104	1492	1582	1307	
105	1443	1572	1228	
106	1531	1612	1262	
107	1522	1542	1318	
108	1463	1612	1273	
109	1472	1562	1217	
110	1561	1562	1329	
111	1511	1603	1351	
112	1413	1582	1239	
113	1502	1582	1251	
114	1511	1553	1351	
115	1482	1603	1296	
116	1423	1582	1173	
117	1541	1572	1262	
118	1541	1612	1362	
119	1433	1572	1228	
120	1463	1603	1173	
121	1531	1572	1362	
122	1502	1612	1340	
123	1423	1572	1217	
124	1482	1572	1262	
