Time (s),CH1 Conductivity (muS/cm),CH2 Conductivity (muS/cm),CH3 Conductivity (muS/cm)
179.0,1204.0,280.5,933.0
180.0,1257.0,280.1,944.0
181.0,1275.0,280.1,1061.0
182.0,1257.0,279.9,1050.0
183.0,1257.0,279.3,1040.0
184.0,1236.0,280.5,1018.0
185.0,1187.0,280.6,923.0
186.0,1164.0,279.9,923.0
187.0,1206.0,280.3,965.0
188.0,1291.0,279.6,965.0
189.0,1291.0,280.1,1072.0
190.0,1245.0,280.1,1018.0
191.0,1210.0,279.4,997.0
192.0,1200.0,280.6,965.0
193.0,1205.0,280.6,901.0
194.0,1208.0,280.1,997.0
195.0,1252.0,280.0,1018.0
196.0,1303.0,279.3,1040.0
197.0,1267.0,280.4,1072.0
198.0,1184.0,280.6,955.0
199.0,1167.0,280.1,923.0
200.0,1212.0,280.3,955.0
201.0,1284.0,279.7,976.0
202.0,1271.0,280.4,1061.0
203.0,1248.0,279.5,997.0
204.0,1212.0,279.7,987.0
205.0,1204.0,280.8,913.0
206.0,1192.0,280.1,933.0
207.0,1226.0,280.2,1040.0
208.0,1289.0,279.4,1008.0
209.0,1299.0,279.9,1072.0
210.0,1205.0,280.8,955.0
