Vernier Format 2
cstr_1200_300_1.txt 8/2/118 13:1:11
Run 1
Time	Conductivity	Conductivity	Conductivity	
T	C	C	C	
s	µS/cm	µS/cm	µS/cm	

0	998	1623	1239	
1	1078	1623	1351	
2	989	1612	1217	
3	1048	1623	1362	
4	949	1593	1262	
5	1048	1603	1340	
6	989	1612	1262	
7	1048	1603	1284	
8	1018	1653	1307	
9	1038	1612	1251	
10	1028	1612	1362	
11	989	1612	1239	
12	1038	1582	1351	
13	959	1623	1284	
14	1058	1612	1340	
15	989	1633	1262	
16	1048	1643	1318	
17	969	1612	1273	
18	1028	1603	1329	
19	998	1603	1307	
20	989	1623	1262	
21	1038	1623	1351	
22	989	1603	1262	
23	1058	1643	1340	
24	979	1593	1262	
25	1028	1582	1362	
26	989	1593	1251	
27	1038	1603	1307	
28	998	1633	1307	
29	1028	1612	1284	
30	1028	1623	1351	
31	998	1612	1262	
32	1048	1582	1318	
33	959	1612	1273	
34	1028	1593	1340	
35	979	1643	1251	
36	1067	1623	1351	
37	998	1623	1262	
38	1038	1633	1307	
39	1008	1582	1273	
40	989	1612	1307	
41	1038	1582	1340	
42	1008	1612	1273	
43	1067	1633	1340	
44	989	1612	1251	
45	1048	1633	1340	
46	959	1582	1262	
47	1038	1612	1296	
48	989	1612	1296	
49	1018	1612	1273	
50	1107	1623	1340	
51	1147	1603	1239	
52	1443	1612	1329	
53	1581	1542	1206	
54	1867	1553	1351	
55	1828	1532	1217	
56	1966	1532	1296	
57	1926	1562	1184	
58	2025	1532	1329	
59	1966	1582	1195	
60	2084	1553	1340	
61	1946	1582	1195	
62	2094	1582	1340	
63	1966	1572	1184	
64	2094	1582	1340	
65	1985	1553	1173	
66	2094	1542	1362	
67	1936	1542	1206	
68	2025	1532	1318	
69	1936	1532	1217	
70	2015	1532	1340	
71	1966	1553	1228	
72	2064	1542	1340	
73	1966	1553	1195	
74	2025	1582	1362	
75	1985	1572	1184	
76	2074	1582	1329	
77	1976	1572	1184	
78	1995	1582	1362	
79	1946	1542	1184	
80	1995	1553	1318	
81	1936	1542	1228	
82	1995	1522	1329	
83	1916	1553	1184	
84	1976	1532	1307	
85	1936	1553	1228	
86	1966	1553	1340	
87	1936	1553	1228	
88	1995	1582	1340	
89	1936	1553	1206	
90	1995	1603	1362	
91	1936	1562	1173	
92	1995	1582	1362	
93	1907	1562	1161	
94	1966	1572	1329	
95	1887	1542	1184	
96	1976	1532	1351	
97	1837	1553	1217	
98	1946	1532	1340	
99	1867	1542	1228	
100	1946	1532	1329	
101	1867	1572	1239	
102	1985	1572	1318	
103	1857	1593	1228	
104	1966	1572	1307	
105	1857	1582	1251	
106	1976	1582	1273	
107	1887	1572	1239	
108	1936	1572	1273	
109	1837	1553	1273	
110	1867	1553	1262	
111	1867	1522	1262	
112	1887	1553	1273	
113	1867	1542	1284	
114	1867	1542	1262	
115	1857	1542	1329	
116	1828	1562	1239	
117	1907	1572	1351	
118	1857	1572	1217	
119	1907	1603	1340	
120	1808	1572	1228	
121	1916	1593	1329	
122	1818	1542	1228	
123	1907	1582	1307	
124	1778	1542	1228	
125	1857	1562	1318	
