Time (s),CH1 Conductivity (muS/cm),CH2 Conductivity (muS/cm)
0.0,810.0,801.0
1.0,801.0,831.0
2.0,791.0,841.0
3.0,771.0,841.0
4.0,791.0,801.0
5.0,791.0,801.0
6.0,742.0,812.0
7.0,742.0,801.0
8.0,742.0,821.0
9.0,810.0,821.0
10.0,810.0,831.0
11.0,810.0,821.0
12.0,771.0,812.0
13.0,751.0,801.0
14.0,742.0,782.0
15.0,771.0,791.0
16.0,762.0,782.0
17.0,742.0,821.0
18.0,840.0,791.0
19.0,1006.0,801.0
20.0,1173.0,782.0
21.0,1438.0,771.0
22.0,1516.0,741.0
23.0,1486.0,761.0
24.0,1702.0,731.0
25.0,1673.0,741.0
26.0,1732.0,752.0
27.0,1751.0,771.0
28.0,1761.0,771.0
29.0,1800.0,791.0
30.0,1790.0,791.0
31.0,1810.0,791.0
32.0,1800.0,841.0
33.0,1800.0,831.0
34.0,1771.0,821.0
35.0,1780.0,791.0
36.0,1790.0,791.0
37.0,1741.0,812.0
38.0,1751.0,791.0
39.0,1761.0,821.0
40.0,1771.0,812.0
41.0,1761.0,831.0
42.0,1761.0,841.0
43.0,1771.0,841.0
44.0,1790.0,851.0
45.0,1761.0,881.0
46.0,1741.0,871.0
47.0,1751.0,871.0
48.0,1751.0,901.0
49.0,1761.0,881.0
50.0,1741.0,871.0
51.0,1751.0,871.0
52.0,1751.0,871.0
53.0,1712.0,861.0
54.0,1732.0,861.0
55.0,1682.0,881.0
56.0,1712.0,871.0
57.0,1682.0,871.0
58.0,1702.0,871.0
59.0,1682.0,871.0
60.0,1673.0,881.0
61.0,1682.0,881.0
62.0,1712.0,881.0
63.0,1682.0,891.0
64.0,1673.0,901.0
65.0,1663.0,921.0
66.0,1692.0,901.0
67.0,1673.0,931.0
68.0,1682.0,931.0
69.0,1663.0,931.0
70.0,1682.0,931.0
71.0,1702.0,931.0
72.0,1663.0,931.0
73.0,1663.0,941.0
74.0,1682.0,931.0
75.0,1682.0,931.0
76.0,1653.0,931.0
77.0,1633.0,931.0
78.0,1653.0,931.0
79.0,1633.0,931.0
80.0,1643.0,931.0
81.0,1624.0,931.0
82.0,1643.0,931.0
83.0,1594.0,951.0
84.0,1594.0,941.0
85.0,1633.0,931.0
86.0,1624.0,931.0
87.0,1594.0,931.0
88.0,1565.0,951.0
89.0,1604.0,951.0
90.0,1574.0,931.0
91.0,1574.0,931.0
92.0,1565.0,951.0
93.0,1574.0,951.0
94.0,1574.0,961.0
95.0,1604.0,961.0
96.0,1594.0,971.0
97.0,1594.0,971.0
98.0,1594.0,971.0
99.0,1594.0,981.0
100.0,1585.0,1001.0
101.0,1604.0,981.0
102.0,1594.0,1001.0
103.0,1594.0,1001.0
104.0,1565.0,1001.0
105.0,1565.0,1011.0
106.0,1594.0,1001.0
107.0,1555.0,1011.0
108.0,1565.0,1001.0
109.0,1555.0,1011.0
110.0,1545.0,1021.0
111.0,1535.0,1001.0
112.0,1545.0,1001.0
113.0,1535.0,1021.0
114.0,1526.0,1011.0
115.0,1555.0,1001.0
116.0,1535.0,1001.0
117.0,1526.0,1001.0
118.0,1526.0,991.0
119.0,1506.0,1011.0
120.0,1477.0,1001.0
121.0,1516.0,981.0
122.0,1526.0,991.0
123.0,1486.0,1001.0
124.0,1496.0,1001.0
125.0,1467.0,1001.0
126.0,1486.0,1011.0
127.0,1467.0,1001.0
128.0,1477.0,1011.0
129.0,1496.0,1011.0
130.0,1516.0,1021.0
131.0,1486.0,1041.0
132.0,1496.0,1041.0
133.0,1516.0,1041.0
134.0,1477.0,1051.0
135.0,1496.0,1051.0
136.0,1486.0,1051.0
137.0,1477.0,1041.0
138.0,1477.0,1051.0
139.0,1486.0,1041.0
140.0,1447.0,1051.0
141.0,1477.0,1041.0
142.0,1467.0,1041.0
143.0,1438.0,1051.0
144.0,1418.0,1041.0
145.0,1457.0,1031.0
146.0,1447.0,1011.0
147.0,1457.0,1021.0
148.0,1447.0,1031.0
149.0,1408.0,1031.0
150.0,1438.0,1031.0
151.0,1438.0,1041.0
152.0,1438.0,1041.0
153.0,1438.0,1051.0
154.0,1398.0,1051.0
155.0,1408.0,1051.0
156.0,1398.0,1061.0
157.0,1398.0,1061.0
158.0,1418.0,1061.0
159.0,1408.0,1061.0
160.0,1408.0,1081.0
161.0,1408.0,1081.0
162.0,1438.0,1091.0
163.0,1398.0,1091.0
164.0,1427.0,1091.0
165.0,1418.0,1091.0
166.0,1418.0,1091.0
167.0,1408.0,1091.0
168.0,1398.0,1101.0
169.0,1438.0,1091.0
170.0,1398.0,1081.0
171.0,1418.0,1081.0
172.0,1388.0,1091.0
173.0,1398.0,1091.0
174.0,1369.0,1091.0
175.0,1388.0,1071.0
176.0,1349.0,1081.0
177.0,1369.0,1051.0
178.0,1369.0,1051.0
179.0,1349.0,1061.0
180.0,1330.0,1081.0
181.0,1369.0,1081.0
182.0,1330.0,1081.0
183.0,1388.0,1111.0
184.0,1369.0,1111.0
185.0,1369.0,1071.0
186.0,1359.0,1081.0
187.0,1388.0,1121.0
188.0,1330.0,1061.0
189.0,1339.0,1121.0
190.0,1339.0,1091.0
191.0,1359.0,1101.0
192.0,1330.0,1111.0
193.0,1339.0,1071.0
194.0,1339.0,1091.0
195.0,1330.0,1121.0
196.0,1330.0,1091.0
197.0,1369.0,1101.0
198.0,1330.0,1101.0
199.0,1320.0,1091.0
200.0,1310.0,1121.0
201.0,1339.0,1091.0
202.0,1359.0,1101.0
203.0,1300.0,1091.0
204.0,1320.0,1121.0
205.0,1320.0,1091.0
206.0,1320.0,1121.0
207.0,1310.0,1101.0
208.0,1320.0,1101.0
209.0,1330.0,1121.0
