Time (s),CH1 Conductivity (muS/cm),CH2 Conductivity (muS/cm),CH3 Conductivity (muS/cm)
100.0,1251.0,280.1,1018.0
101.0,1236.0,280.1,965.0
102.0,1223.0,280.6,965.0
103.0,1303.0,279.4,1008.0
104.0,1169.0,280.1,955.0
105.0,1229.0,279.7,997.0
106.0,1246.0,279.9,1029.0
107.0,1209.0,280.6,955.0
108.0,1303.0,279.3,1040.0
109.0,1182.0,279.8,965.0
110.0,1217.0,279.4,997.0
111.0,1257.0,279.7,1040.0
112.0,1190.0,280.6,901.0
113.0,1295.0,279.4,1061.0
114.0,1223.0,279.8,965.0
115.0,1178.0,279.4,965.0
116.0,1270.0,280.3,1061.0
117.0,1200.0,280.3,901.0
118.0,1257.0,279.7,1029.0
119.0,1275.0,279.4,1008.0
120.0,1164.0,279.7,923.0
121.0,1255.0,280.5,1050.0
122.0,1254.0,279.7,955.0
123.0,1212.0,280.4,955.0
124.0,1276.0,279.0,1040.0
125.0,1196.0,279.9,965.0
126.0,1197.0,280.3,923.0
127.0,1305.0,279.7,1061.0
128.0,1210.0,280.3,923.0
129.0,1216.0,279.3,997.0
130.0,1258.0,280.3,1040.0
131.0,1176.0,279.9,913.0
132.0,1258.0,280.2,1008.0
133.0,1289.0,279.3,997.0
134.0,1168.0,279.7,965.0
135.0,1230.0,279.9,997.0
136.0,1270.0,279.9,1040.0
137.0,1197.0,280.6,913.0
138.0,1266.0,279.1,1040.0
139.0,1235.0,280.1,1008.0
140.0,1169.0,280.2,913.0
141.0,1293.0,280.1,1061.0
142.0,1273.0,279.7,955.0
143.0,1164.0,279.7,965.0
144.0,1251.0,280.3,1018.0
145.0,1265.0,279.7,997.0
146.0,1204.0,280.3,955.0
147.0,1266.0,279.1,1018.0
148.0,1223.0,279.9,1008.0
149.0,1185.0,280.6,913.0
150.0,1297.0,279.7,1050.0
151.0,1242.0,279.7,987.0
152.0,1160.0,279.7,933.0
153.0,1278.0,280.4,1072.0
154.0,1266.0,279.7,955.0
155.0,1180.0,279.9,955.0
156.0,1249.0,279.6,1029.0
157.0,1261.0,279.7,1008.0
158.0,1200.0,280.3,923.0
159.0,1259.0,279.0,1029.0
160.0,1248.0,280.1,1040.0
161.0,1174.0,280.1,901.0
162.0,1263.0,280.1,1040.0
163.0,1284.0,279.4,997.0
164.0,1168.0,279.8,965.0
165.0,1215.0,280.4,987.0
166.0,1305.0,279.3,1040.0
167.0,1198.0,279.9,944.0
168.0,1188.0,279.6,933.0
169.0,1283.0,280.3,1092.0
170.0,1231.0,279.7,944.0
171.0,1204.0,279.5,987.0
172.0,1266.0,279.7,1040.0
173.0,1221.0,279.7,965.0
174.0,1216.0,280.3,965.0
175.0,1276.0,279.0,1008.0
