Vernier Format 2
cstr_600_300_2.txt 8/9/118 12:39:15
Run 1
Time	Conductivity	
T	C	
s	µS/cm	

0	1212	
1	1183	
2	1192	
3	1202	
4	1192	
5	1192	
6	1183	
7	1192	
8	1192	
9	1183	
10	1183	
11	1202	
12	1192	
13	1183	
14	1192	
15	1202	
16	1192	
17	1202	
18	1192	
19	1202	
20	1202	
21	1192	
22	1192	
23	1183	
24	1192	
25	1183	
26	1192	
27	1183	
28	1202	
29	1172	
30	1192	
31	1192	
32	1183	
33	1232	
34	1202	
35	1232	
36	1252	
37	1252	
38	1311	
39	1380	
40	1420	
41	1557	
42	1469	
43	1479	
44	1528	
45	1528	
46	1538	
47	1538	
48	1557	
49	1577	
50	1597	
51	1627	
52	1617	
53	1617	
54	1607	
55	1607	
56	1627	
57	1637	
58	1627	
59	1617	
60	1627	
61	1627	
62	1646	
63	1657	
64	1637	
65	1657	
66	1666	
67	1666	
68	1666	
69	1637	
70	1657	
71	1676	
72	1666	
73	1657	
74	1646	
75	1676	
76	1666	
77	1666	
78	1666	
79	1676	
80	1666	
81	1686	
82	1676	
83	1657	
84	1666	
85	1676	
86	1666	
87	1666	
88	1686	
89	1666	
90	1676	
91	1657	
92	1676	
93	1657	
94	1676	
95	1666	
96	1666	
97	1657	
98	1676	
99	1666	
100	1676	
101	1646	
102	1666	
103	1676	
104	1657	
105	1676	
106	1666	
107	1657	
108	1666	
109	1666	
110	1657	
111	1666	
112	1657	
113	1666	
114	1637	
115	1666	
116	1666	
117	1657	
118	1666	
119	1637	
120	1627	
121	1627	
122	1657	
123	1637	
124	1637	
125	1637	
126	1627	
127	1637	
128	1646	
129	1627	
130	1657	
131	1657	
132	1657	
133	1627	
134	1627	
135	1627	
136	1627	
137	1627	
138	1657	
139	1646	
140	1646	
141	1637	
142	1637	
143	1617	
144	1627	
145	1637	
146	1627	
147	1617	
148	1627	
149	1617	
150	1617	
151	1627	
152	1607	
153	1627	
154	1627	
155	1607	
156	1617	
157	1627	
158	1607	
159	1617	
160	1617	
161	1607	
162	1627	
163	1607	
164	1607	
165	1627	
166	1607	
167	1597	
168	1627	
169	1607	
170	1607	
171	1627	
172	1617	
173	1597	
174	1627	
175	1617	
176	1617	
177	1587	
178	1617	
179	1607	
180	1617	
181	1617	
182	1587	
183	1617	
184	1587	
185	1607	
186	1617	
187	1587	
188	1607	
189	1607	
190	1607	
191	1577	
192	1607	
193	1587	
194	1577	
195	1577	
196	1597	
197	1587	
198	1577	
199	1597	
200	1577	
201	1597	
202	1587	
203	1577	
204	1597	
205	1587	
206	1587	
207	1557	
208	1557	
209	1568	
210	1577	
211	1587	
212	1587	
213	1597	
214	1587	
215	1557	
216	1568	
217	1557	
218	1577	
219	1577	
220	1577	
221	1577	
222	1577	
223	1577	
224	1577	
225	1577	
