Time (s),CH1 Conductivity (muS/cm),CH2 Conductivity (muS/cm),CH3 Conductivity (muS/cm)
0.0,1296.0,279.7,1008.0
1.0,1313.0,280.0,1029.0
2.0,1300.0,280.6,1050.0
3.0,1272.0,280.7,1040.0
4.0,1260.0,280.3,997.0
5.0,1270.0,279.4,997.0
6.0,1277.0,279.8,1050.0
7.0,1277.0,280.7,1029.0
8.0,1241.0,281.1,1018.0
9.0,1212.0,280.6,976.0
10.0,1208.0,279.9,965.0
11.0,1204.0,279.9,987.0
12.0,1217.0,280.7,987.0
13.0,1214.0,281.1,955.0
14.0,1188.0,281.1,901.0
15.0,1167.0,280.3,891.0
16.0,1160.0,280.3,923.0
17.0,1184.0,280.6,965.0
18.0,1209.0,280.9,933.0
19.0,1204.0,281.0,901.0
20.0,1182.0,280.6,881.0
21.0,1160.0,280.4,923.0
22.0,1175.0,280.6,944.0
23.0,1198.0,280.6,933.0
24.0,1223.0,280.6,913.0
25.0,1216.0,280.6,913.0
26.0,1191.0,280.4,913.0
27.0,1191.0,280.6,955.0
28.0,1205.0,280.4,965.0
29.0,1241.0,280.4,955.0
30.0,1251.0,280.4,955.0
31.0,1264.0,280.3,965.0
32.0,1247.0,280.5,997.0
33.0,1230.0,280.6,1018.0
34.0,1248.0,280.4,997.0
35.0,1271.0,279.9,976.0
36.0,1285.0,279.8,1008.0
37.0,1293.0,280.3,1040.0
38.0,1275.0,280.6,1040.0
39.0,1255.0,280.7,1029.0
40.0,1261.0,280.1,997.0
41.0,1285.0,279.9,1018.0
42.0,1306.0,279.7,1029.0
43.0,1290.0,280.3,1072.0
44.0,1277.0,280.6,1061.0
45.0,1266.0,280.6,1029.0
46.0,1265.0,279.9,1008.0
47.0,1289.0,279.7,1018.0
48.0,1305.0,279.7,1040.0
49.0,1293.0,280.4,1072.0
50.0,1270.0,280.7,1040.0
51.0,1269.0,280.6,1018.0
52.0,1266.0,279.7,1008.0
53.0,1288.0,279.6,1008.0
54.0,1300.0,279.7,1040.0
55.0,1296.0,280.3,1050.0
56.0,1277.0,280.6,1061.0
57.0,1263.0,280.6,1061.0
58.0,1254.0,280.1,1018.0
59.0,1283.0,279.9,987.0
60.0,1295.0,279.8,1008.0
61.0,1281.0,280.2,1018.0
62.0,1251.0,280.5,1040.0
63.0,1246.0,280.6,1029.0
64.0,1239.0,280.6,1018.0
65.0,1265.0,280.2,976.0
66.0,1260.0,280.2,965.0
67.0,1253.0,280.3,955.0
